"year" "month" "Ftemp" "Ctemp"
"1" 1869 1 35.1 1.7
"2" 1869 10 50.9 10.5
"3" 1869 11 40.3 4.6
"4" 1869 12 34.7 1.5
"5" 1869 2 34.5 1.4
"6" 1869 3 34.8 1.6
"7" 1869 4 49.2 9.6
"8" 1869 5 57.7 14.3
"9" 1869 6 69.3 20.7
"10" 1869 7 72.8 22.7
"11" 1869 8 71.8 22.1
"12" 1869 9 65.6 18.7
"13" 1870 1 37.5 3.1
"14" 1870 10 56.7 13.7
"15" 1870 11 45.5 7.5
"16" 1870 12 34.1 1.2
"17" 1870 2 31.3 -0.4
"18" 1870 3 34.1 1.2
"19" 1870 4 50.7 10.4
"20" 1870 5 60.9 16.1
"21" 1870 6 72.9 22.7
"22" 1870 7 76.6 24.8
"23" 1870 8 75.3 24.1
"24" 1870 9 67.6 19.8
"25" 1871 1 28.3 -2.1
"26" 1871 10 55.6 13.1
"27" 1871 11 38.8 3.8
"28" 1871 12 29.2 -1.6
"29" 1871 2 30.2 -1
"30" 1871 3 44.2 6.8
"31" 1871 4 52 11.1
"32" 1871 5 60.4 15.8
"33" 1871 6 68.2 20.1
"34" 1871 7 72.3 22.4
"35" 1871 8 73.6 23.1
"36" 1871 9 60.8 16
"37" 1872 1 28.8 -1.8
"38" 1872 10 53.2 11.8
"39" 1872 11 41 5
"40" 1872 12 26.7 -2.9
"41" 1872 2 29.9 -1.2
"42" 1872 3 30.5 -0.8
"43" 1872 4 49.4 9.7
"44" 1872 5 61.5 16.4
"45" 1872 6 71.2 21.8
"46" 1872 7 77.5 25.3
"47" 1872 8 75.6 24.2
"48" 1872 9 66.4 19.1
"49" 1873 1 28.6 -1.9
"50" 1873 10 55.8 13.2
"51" 1873 11 37 2.8
"52" 1873 12 36.5 2.5
"53" 1873 2 29.5 -1.4
"54" 1873 3 35.7 2.1
"55" 1873 4 46.7 8.2
"56" 1873 5 58.8 14.9
"57" 1873 6 70.3 21.3
"58" 1873 7 75.4 24.1
"59" 1873 8 72 22.2
"60" 1873 9 65.4 18.6
"61" 1874 1 34.2 1.2
"62" 1874 10 55.1 12.8
"63" 1874 11 43.4 6.3
"64" 1874 12 33.8 1
"65" 1874 2 31.3 -0.4
"66" 1874 3 37.1 2.8
"67" 1874 4 41.1 5.1
"68" 1874 5 58.8 14.9
"69" 1874 6 70.1 21.2
"70" 1874 7 73.9 23.3
"71" 1874 8 70.3 21.3
"72" 1874 9 67 19.4
"73" 1875 1 23.8 -4.6
"74" 1875 10 53.6 12
"75" 1875 11 39.3 4.1
"76" 1875 12 33.9 1.1
"77" 1875 2 25.2 -3.8
"78" 1875 3 34.1 1.2
"79" 1875 4 43.1 6.2
"80" 1875 5 60.1 15.6
"81" 1875 6 69.2 20.7
"82" 1875 7 74 23.3
"83" 1875 8 72.9 22.7
"84" 1875 9 64 17.8
"85" 1876 1 36.6 2.6
"86" 1876 10 50.6 10.3
"87" 1876 11 45.2 7.3
"88" 1876 12 24.9 -3.9
"89" 1876 2 31.8 -0.1
"90" 1876 3 34.4 1.3
"91" 1876 4 47 8.3
"92" 1876 5 60.2 15.7
"93" 1876 6 73.5 23.1
"94" 1876 7 79.4 26.3
"95" 1876 8 75.2 24
"96" 1876 9 63.7 17.6
"97" 1877 1 27.7 -2.4
"98" 1877 10 55.8 13.2
"99" 1877 11 44.5 6.9
"100" 1877 12 37.4 3
"101" 1877 2 37 2.8
"102" 1877 3 35.8 2.1
"103" 1877 4 47.7 8.7
"104" 1877 5 59.6 15.3
"105" 1877 6 70.2 21.2
"106" 1877 7 75 23.9
"107" 1877 8 75.4 24.1
"108" 1877 9 66.9 19.4
"109" 1878 1 30.3 -0.9
"110" 1878 10 58.7 14.8
"111" 1878 11 43.8 6.6
"112" 1878 12 32.8 0.4
"113" 1878 2 32.2 0.1
"114" 1878 3 44.1 6.7
"115" 1878 4 53.3 11.8
"116" 1878 5 59.4 15.2
"117" 1878 6 67.7 19.8
"118" 1878 7 77.8 25.4
"119" 1878 8 74.2 23.4
"120" 1878 9 68.3 20.2
"121" 1879 1 26.9 -2.8
"122" 1879 10 60.3 15.7
"123" 1879 11 43.4 6.3
"124" 1879 12 37.3 2.9
"125" 1879 2 28 -2.2
"126" 1879 3 40 4.4
"127" 1879 4 48.4 9.1
"128" 1879 5 63.3 17.4
"129" 1879 6 70.2 21.2
"130" 1879 7 75 23.9
"131" 1879 8 72 22.2
"132" 1879 9 63.3 17.4
"133" 1880 1 39.6 4.2
"134" 1880 10 53.6 12
"135" 1880 11 38.7 3.7
"136" 1880 12 26.5 -3.1
"137" 1880 2 37.2 2.9
"138" 1880 3 36.5 2.5
"139" 1880 4 50 10
"140" 1880 5 67.9 19.9
"141" 1880 6 73.1 22.8
"142" 1880 7 74.9 23.8
"143" 1880 8 72.7 22.6
"144" 1880 9 67.1 19.5
"145" 1881 1 24.7 -4.1
"146" 1881 10 58.8 14.9
"147" 1881 11 45.2 7.3
"148" 1881 12 39.4 4.1
"149" 1881 2 28.7 -1.8
"150" 1881 3 36.7 2.6
"151" 1881 4 46.3 7.9
"152" 1881 5 62.3 16.8
"153" 1881 6 65.2 18.4
"154" 1881 7 73.7 23.2
"155" 1881 8 73.8 23.2
"156" 1881 9 73.4 23
"157" 1882 1 28.8 -1.8
"158" 1882 10 57.1 13.9
"159" 1882 11 39.2 4
"160" 1882 12 30.6 -0.8
"161" 1882 2 35.2 1.8
"162" 1882 3 40.4 4.7
"163" 1882 4 47.6 8.7
"164" 1882 5 56.6 13.7
"165" 1882 6 71.8 22.1
"166" 1882 7 75.8 24.3
"167" 1882 8 73.4 23
"168" 1882 9 67.1 19.5
"169" 1883 1 25.2 -3.8
"170" 1883 10 52.2 11.2
"171" 1883 11 43.7 6.5
"172" 1883 12 32 0
"173" 1883 2 30.2 -1
"174" 1883 3 32.7 0.4
"175" 1883 4 47.1 8.4
"176" 1883 5 61.1 16.2
"177" 1883 6 74 23.3
"178" 1883 7 74.5 23.6
"179" 1883 8 70.4 21.3
"180" 1883 9 62.6 17
"181" 1884 1 24.7 -4.1
"182" 1884 10 57.7 14.3
"183" 1884 11 44.3 6.8
"184" 1884 12 33.6 0.9
"185" 1884 2 34 1.1
"186" 1884 3 37.7 3.2
"187" 1884 4 48.1 8.9
"188" 1884 5 59.8 15.4
"189" 1884 6 71.3 21.8
"190" 1884 7 71.9 22.2
"191" 1884 8 73.7 23.2
"192" 1884 9 72 22.2
"193" 1885 1 29.4 -1.4
"194" 1885 10 54.1 12.3
"195" 1885 11 44.9 7.2
"196" 1885 12 35.7 2.1
"197" 1885 2 22.7 -5.2
"198" 1885 3 30.6 -0.8
"199" 1885 4 49.4 9.7
"200" 1885 5 59.9 15.5
"201" 1885 6 71 21.7
"202" 1885 7 78.5 25.8
"203" 1885 8 72.4 22.4
"204" 1885 9 64.4 18
"205" 1886 1 26.8 -2.9
"206" 1886 10 54.9 12.7
"207" 1886 11 44.6 7
"208" 1886 12 29.6 -1.3
"209" 1886 2 27.5 -2.5
"210" 1886 3 37.6 3.1
"211" 1886 4 52.9 11.6
"212" 1886 5 60.2 15.7
"213" 1886 6 68 20
"214" 1886 7 74.8 23.8
"215" 1886 8 70.2 21.2
"216" 1886 9 65.3 18.5
"217" 1887 1 29.1 -1.6
"218" 1887 10 52.2 11.2
"219" 1887 11 41.4 5.2
"220" 1887 12 33.8 1
"221" 1887 2 32 0
"222" 1887 3 32.3 0.2
"223" 1887 4 46.3 7.9
"224" 1887 5 63.8 17.7
"225" 1887 6 69.6 20.9
"226" 1887 7 78.2 25.7
"227" 1887 8 70 21.1
"228" 1887 9 61.8 16.6
"229" 1888 1 23 -5
"230" 1888 10 48.6 9.2
"231" 1888 11 45.5 7.5
"232" 1888 12 34.7 1.5
"233" 1888 2 29.3 -1.5
"234" 1888 3 30 -1.1
"235" 1888 4 46 7.8
"236" 1888 5 58 14.4
"237" 1888 6 70.9 21.6
"238" 1888 7 70.7 21.5
"239" 1888 8 72.6 22.6
"240" 1888 9 62.8 17.1
"241" 1889 1 35.7 2.1
"242" 1889 10 49.7 9.8
"243" 1889 11 44.7 7.1
"244" 1889 12 40 4.4
"245" 1889 2 27.8 -2.3
"246" 1889 3 39.7 4.3
"247" 1889 4 51.2 10.7
"248" 1889 5 63.5 17.5
"249" 1889 6 70.5 21.4
"250" 1889 7 73.2 22.9
"251" 1889 8 70.6 21.4
"252" 1889 9 65.2 18.4
"253" 1890 1 37.6 3.1
"254" 1890 10 54.5 12.5
"255" 1890 11 43.9 6.6
"256" 1890 12 29.9 -1.2
"257" 1890 2 37.9 3.3
"258" 1890 3 35.6 2
"259" 1890 4 49.1 9.5
"260" 1890 5 60.3 15.7
"261" 1890 6 70.1 21.2
"262" 1890 7 73.1 22.8
"263" 1890 8 72.7 22.6
"264" 1890 9 67.1 19.5
"265" 1891 1 33.8 1
"266" 1891 10 54.7 12.6
"267" 1891 11 44.3 6.8
"268" 1891 12 42.3 5.7
"269" 1891 2 36.5 2.5
"270" 1891 3 35.8 2.1
"271" 1891 4 49.7 9.8
"272" 1891 5 57.8 14.3
"273" 1891 6 71.4 21.9
"274" 1891 7 72.4 22.4
"275" 1891 8 75.5 24.2
"276" 1891 9 71.6 22
"277" 1892 1 31.5 -0.3
"278" 1892 10 53 11.7
"279" 1892 11 43.4 6.3
"280" 1892 12 32.2 0.1
"281" 1892 2 33.4 0.8
"282" 1892 3 34.2 1.2
"283" 1892 4 48.8 9.3
"284" 1892 5 59.2 15.1
"285" 1892 6 73.5 23.1
"286" 1892 7 74.9 23.8
"287" 1892 8 74.3 23.5
"288" 1892 9 64.7 18.2
"289" 1893 1 23.7 -4.6
"290" 1893 10 56.2 13.4
"291" 1893 11 42.9 6.1
"292" 1893 12 34.5 1.4
"293" 1893 2 29.4 -1.4
"294" 1893 3 35.5 1.9
"295" 1893 4 46.4 8
"296" 1893 5 58.2 14.6
"297" 1893 6 68.1 20.1
"298" 1893 7 73.6 23.1
"299" 1893 8 73.5 23.1
"300" 1893 9 63.3 17.4
"301" 1894 1 33.6 0.9
"302" 1894 10 55.3 12.9
"303" 1894 11 41.5 5.3
"304" 1894 12 36.8 2.7
"305" 1894 2 28.6 -1.9
"306" 1894 3 42.8 6
